Year,Temp (F),Precip (inches)
189501,57.6,4.06
189502,50.7,3.77
189503,63.6,2.66
189504,67.9,4.84
189505,74.8,4.96
189506,79.4,5.97
189507,80.8,7.42
189508,81,7.27
189509,79.4,3.95
189510,70.4,2.7
189511,63.6,2.74
189512,55.4,1.65
189601,54.1,3.48
189602,57.1,3.63
189603,62.1,2.7
189604,70.3,0.85
189605,76.7,2.39
189606,80,10.93
189607,81.3,7.27
189608,82.3,5.26
189609,79.1,4.21
189610,71.1,3.33
189611,68.7,3.89
189612,56.4,2.4
189701,53.8,1.57
189702,62.4,6.59
189703,69.1,3.25
189704,69,4.25
189705,73.3,1.57
189706,81.9,5.66
189707,81.5,8.56
189708,81,7.94
189709,77,9.24
189710,71.9,3.94
189711,65.3,1.46
189712,59,2.97
189801,59.6,0.95
189802,56.7,1.68
189803,67.2,1.07
189804,67.4,1.91
189805,76,1.43
189806,81,4
189807,81.1,9.57
189808,80.4,13.49
189809,79.8,6.08
189810,70.8,6.49
189811,64.4,3.22
189812,56.5,3.8
189901,58.7,4.84
189902,58.5,6.03
189903,65.4,1.99
189904,67.3,3.78
189905,78.2,1.25
189906,80.4,6.61
189907,80.6,7.34
189908,81.9,6.62
189909,78.3,5.15
189910,73,5.05
189911,64.5,0.8
189912,57.6,2.05
190001,54.9,3.24
190002,57.9,5.15
190003,62.6,6.75
190004,69.1,4.8
190005,74.9,4.55
190006,79.3,9.2
190007,81.7,7.27
190008,82,4.64
190009,80.2,4.47
190010,75.4,5.13
190011,63.6,1.58
190012,57.3,4.88
190101,56.4,2.67
190102,55,4.31
190103,61,5.18
190104,64.4,2.31
190105,74.7,4.32
190106,79.2,9.11
190107,81.5,7.47
190108,80,11.2
190109,78.8,6.05
190110,71.3,1.73
190111,57.9,1.04
190112,55.6,3.07
190201,54,0.77
190202,53.2,5.31
190203,63.9,5.2
190204,67.6,1.35
190205,77.4,2.32
190206,80.4,5.75
190207,81.8,5.31
190208,81.6,4.78
190209,78.7,9.03
190210,73.3,6.29
190211,67.6,2.81
190212,59.2,3.57
190301,56.5,4.8
190302,61.8,5.61
190303,68,5.83
190304,66.3,0.6
190305,73.2,4.9
190306,78,6.54
190307,80.7,6.88
190308,81.9,7.3
190309,77.4,7.64
190310,69.9,1.59
190311,61.8,2.93
190312,52.2,2.02
190401,54.4,4.55
190402,60.5,2.79
190403,66.3,1.98
190404,68,1.66
190405,74.2,2.65
190406,78.6,7.35
190407,79.6,6.17
190408,79.8,7.25
190409,79.1,3.68
190410,72.6,5.19
190411,61,2.89
190412,57,1.82
190501,51.9,1.73
190502,57.6,3.4
190503,66,3.69
190504,69.5,2.57
190505,78.1,5.93
190506,80,4.62
190507,81.3,8.82
190508,80.7,9.98
190509,80.3,6.22
190510,72.8,2.91
190511,65.1,0.84
190512,57.3,7.12
190601,57.5,4.25
190602,57.7,2.65
190603,61.4,3.07
190604,69.2,1.35
190605,74.5,6.97
190606,79.9,8.41
190607,80.3,9.82
190608,80.7,8.38
190609,80.2,4.98
190610,70.3,3.11
190611,65.4,0.98
190612,58.6,0.91
190701,62.5,0.76
190702,59.4,1.42
190703,69.9,0.8
190704,67,3.28
190705,75.5,5.8
190706,78.3,5.98
190707,80.9,7.08
190708,80.8,6.45
190709,79.5,8.29
190710,70.9,1.34
190711,64,2.34
190712,57.8,5.75
190801,56.1,3.12
190802,55.6,2.46
190803,68,1.01
190804,74.7,3.14
190805,75.4,3.01
190806,78.8,6.04
190807,80.6,6.54
190808,80.6,7.67
190809,78,8.98
190810,69.4,2.57
190811,64.4,1.71
190812,61.9,0.91
190901,61.4,1.48
190902,59.2,1.87
190903,64.8,2.87
190904,70.4,2.93
190905,74.7,4.48
190906,80.2,6.75
190907,80.3,11.04
190908,81.3,8.68
190909,78.3,3.71
190910,71.1,1.65
190911,65.9,0.81
190912,54.4,2.9
191001,55.1,1.36
191002,57.1,3.21
191003,63.7,1.75
191004,67,1.5
191005,74.5,2.91
191006,77.8,10.07
191007,79.4,7.79
191008,80.1,8.33
191009,78.8,3.38
191010,72.3,8.15
191011,60,1.7
191012,52.1,0.95
191101,60.1,1.37
191102,62,0.22
191103,64.8,2.17
191104,71.1,2.39
191105,74,4.81
191106,80.5,4.93
191107,79.7,6.77
191108,80,8.11
191109,80.5,3.83
191110,75.8,5.36
191111,64.8,3.95
191112,61.8,4.76
191201,55.9,4.83
191202,53.7,3.25
191203,65,4.15
191204,71.9,4.51
191205,76.7,5.37
191206,78.3,10.72
191207,81,5.46
191208,80.8,6.23
191209,79.8,9.05
191210,74.3,4.45
