Year,Temp (F),Precip (inches)
189501,12.2,3.51
189502,11.8,1.42
189503,21.3,1.97
189504,38.1,3.97
189505,53.3,2.12
189506,62.7,2.96
189507,63.2,2.98
189508,61.6,3.45
189509,55.6,1.41
189510,39.3,1.88
189511,32.6,6.52
189512,20.7,4.04
189601,10.4,0.89
189602,13.7,4.34
189603,20.9,6.35
189604,38.3,1.65
189605,50.8,2.39
189606,58.9,2.95
189607,64.8,4.47
189608,61.7,3.48
189609,52.8,6.04
189610,41.3,3.83
189611,31.4,4.27
189612,15,1.34
189701,12.8,3.36
189702,16,2.15
189703,23.4,3.67
189704,38.3,2.65
189705,49.5,5.04
189706,55.2,4.03
189707,65.1,5.43
189708,61.2,4.2
189709,52.9,2.71
189710,44.5,1.31
189711,30,5.33
189712,18.7,3.63
189801,9.4,5.1
189802,19.2,6.46
189803,29.8,1.96
189804,36.2,3.46
189805,50.4,2
189806,58.8,4.54
189807,64.8,2.66
189808,64.1,3.6
189809,55.9,2.98
189810,44.3,5.9
189811,32.4,5.35
189812,16.6,2.09
189901,11.7,2.83
189902,11.9,2.48
189903,21.7,5.17
189904,39,0.96
189905,49.8,2.54
189906,59.8,3.37
189907,63.8,5.55
189908,62.4,1.11
189909,53.1,3.39
189910,45.6,2.31
189911,30.4,2.7
189912,22.7,2.86
190001,13.9,5.92
190002,15.5,6.89
190003,21.6,5.74
190004,39.5,1.91
190005,46.7,5.1
190006,61.1,3.87
190007,64.8,3.51
190008,63.7,2.14
190009,56.3,3.08
190010,48,4.65
190011,32.2,5.43
190012,15.6,1.65
190101,11,3.47
190102,11.1,1.74
190103,23.8,5.1
190104,40.4,5.55
190105,50.8,3.06
190106,60.8,2.81
190107,65.5,3.36
190108,63.3,3.91
190109,56.1,2.77
190110,43.9,3.62
190111,26.3,2.32
190112,19,7.14
190201,12.5,3.09
190202,16.7,2.23
190203,32.2,8.02
190204,39.2,2.9
190205,47.9,3.51
190206,55.1,6.08
190207,61.3,2.68
190208,60,4.25
190209,55.6,3.23
190210,43.8,4.47
190211,34.3,1.7
190212,14.7,4.76
190301,13.4,3.58
190302,16.7,4.16
190303,32.7,6.13
190304,38.9,2.1
190305,51.6,0.73
190306,56,3.69
190307,61.3,4.36
190308,57.3,2.56
190309,56.2,1.42
190310,43.8,2.98
190311,29.4,2.31
190312,14.3,3.19
190401,5.9,3.75
190402,7.5,2.07
190403,23.8,3.14
190404,36.5,4.06
190405,53.9,4.75
190406,58.2,2.76
190407,65.1,4.04
190408,60.2,4.2
190409,51.1,6.09
190410,41.6,3.01
190411,26.6,1.79
190412,7.8,1.94
190501,7.3,4.07
190502,9.5,1.66
190503,23.6,1.2
190504,38.2,1.69
190505,49.1,3.02
190506,57.2,3.69
190507,65.1,3.58
190508,60.2,2.14
190509,53,4.13
190510,42.7,1.3
190511,29.8,3.78
190512,19,3.2
190601,19,2.87
190602,15.5,2.21
190603,18.6,4.78
190604,35.7,2.99
190605,47.9,4.14
190606,58.9,3.88
190607,64.9,4.25
190608,64.2,1.97
190609,54.7,1.95
190610,44.1,5.52
190611,30.7,3.51
190612,12.9,3.51
190701,7.6,2.78
190702,7.2,2.37
190703,22.7,2.45
190704,35.1,3.95
190705,45.2,2.32
190706,58.5,5.06
190707,64,5.36
190708,60.9,2.86
190709,54.1,6.29
190710,40.4,4.45
190711,31,4.13
190712,22.5,3.41
190801,15.4,2.74
190802,12,4.37
190803,23.5,2.71
190804,35.2,2.45
190805,51.3,4.68
190806,61.5,2.05
190807,66.8,3.24
190808,61,3.94
190809,58.3,1.32
190810,46.6,3.81
190811,31,1.79
190812,14.4,3.2
190901,12.5,5.36
190902,14.4,4.91
190903,23.5,4.1
190904,35.6,4.14
190905,48.6,3.08
190906,59.9,2.65
190907,62.4,3.14
190908,61.7,2.37
190909,54.6,7.51
190910,45.1,1.94
190911,34.3,4.42
190912,19.4,2.54
191001,17.4,3.35
191002,14.1,3.41
191003,29.5,1.85
191004,43,4.02
191005,49.4,2.77
191006,57.4,3.52
191007,65.6,3.91
191008,61.4,2.96
191009,53.4,2.51
191010,44.1,2.29
191011,31.4,2.39
191012,14,2.71
191101,12.7,2.65
191102,9.6,2.21
191103,20.5,3.99
191104,36.3,1.19
191105,56.5,0.71
191106,59.3,4.63
191107,68.4,4.4
191108,62.6,3.15
191109,52.2,3.23
191110,42.4,2.16
191111,29.6,4
191112,23.5,3.26
191201,5,3.28
191202,13.5,3.06
191203,21.8,3.84
191204,36.5,2.87
191205,51.4,6.49
191206,57,2.17
191207,64.7,3.31
191208,58.4,5.84
191209,53,3.2
191210,45.9,4.93
191211,32.8,4.47
191212,21.9,3.33
191301,20.9,3.34
191302,11,2.21
191303,28.2,5.29
191304,40.3,2.21
191305,47.5,3.57
191306,57.6,1.31
191307,65.1,3.77
191308,61.8,3.09
191309,53.2,3.7
191310,49.6,6.41
191311,34.7,2.19
191312,22.1,3.4
191401,8.8,3.06
191402,5.6,2.05
191403,25.8,3.79
191404,33.6,4.13
191405,52.2,1.84
191406,56.7,3.85
191407,62.5,2.74
191408,61.4,3.48
191409,55.4,2.09
191410,45.9,3.07
191411,28.4,2.65
191412,15.5,1.95
191501,15.9,3.37
191502,19.9,3.88
191503,24.8,0.46
191504,40.6,3.05
191505,48.3,3.52
191506,58.5,2.37
191507,63.4,6.81
191508,61.8,3.66
191509,57,2.45
191510,45.7,2.52
191511,32.9,2.85
191512,22.1,3.54
191601,15.7,2.49
191602,12.2,3.43
191603,18.3,2.17
191604,39.2,3.11
191605,50.1,4.39
191606,57.8,4.62
191607,66.4,4.71
191608,64.5,2.82
191609,55.9,4.12
191610,44.3,3.01
191611,28.6,3.07
191612,19.3,4.73
191701,11.7,4.19
191702,8.5,2.29
191703,24.4,3.42
191704,36.5,2.87
191705,43.5,3.3
191706,58.2,9.36
191707,66.4,3.75
191708,65,5.57
191709,52.3,1.58
191710,42,6.16
191711,26.8,1.44
191712,8,2.99
191801,5.8,2.96
191802,9.7,3.02
191803,22.2,1.98
191804,39,2.2
191805,53.7,2.81
191806,55.6,4.01
191807,65.1,6.25
191808,62.3,2.63
191809,52.2,6.56
191810,44.3,4.8
191811,32.6,3.64
191812,19,3.16
191901,15.6,3.13
191902,18.1,2.14
191903,28.4,4.02
191904,37.3,3.08
191905,50.4,3.94
191906,62.3,2.35
191907,66.3,3.66
191908,60.8,2.54
191909,53.5,4.14
191910,42.3,3.76
191911,30.9,3.97
191912,12.4,1.71
192001,3.8,2.11
192002,13.6,5.52
192003,26.3,3.36
192004,35.9,6.34
192005,49.8,1.65
192006,59.6,3.02
192007,64.1,4.21
192008,65.8,3.8
192009,56.1,6.6
192010,49,3.04
192011,27.8,3.33
192012,20.4,5.32
192101,15.2,1.85
192102,15.3,2.45
192103,31.8,3.3
192104,42.8,3.11
192105,52.5,1.67
192106,59.7,1.88
192107,70,3.06
192108,61.1,4.24
192109,57.1,2.8
192110,44.4,3.3
192111,26.7,4.77
192112,16.6,2.14
192201,9.7,2.33
192202,13.4,2.66
192203,28.2,3.36
192204,39.6,2.83
192205,52.3,2.89
192206,61.3,8.98
192207,64.7,2.43
192208,63,4.71
192209,55.3,1.67
192210,42.9,2.84
192211,31.2,2.16
192212,13.5,2.74
192301,8.8,4.98
192302,5.9,1.68
192303,17,3.65
192304,34.7,5.98
192305,49,1.85
192306,59.5,2.7
192307,62.1,3.39
192308,59.2,2.66
192309,55.5,2.22
192310,45.2,3.54
192311,33.4,3.76
192312,26.4,3.35
192401,13.1,3.54
192402,9.5,2.14
192403,27.6,1.35
192404,35.9,4.72
192405,47.4,3.57
192406,57.6,1.91
192407,65.2,2.99
192408,62.6,3.89
192409,53.4,4.81
192410,45,0.91
192411,33,3.25
192412,13.7,2.14
192501,5,2.91
192502,21.4,2.99
192503,29.2,4.16
192504,38.6,1.58
192505,47.2,2.06
192506,60.4,5.23
192507,63.1,3.85
192508,63.1,1.73
192509,52.7,5.17
192510,36.7,6.23
192511,30.5,4.59
192512,17.8,2.69
192601,12.2,3.13
192602,12.6,3.07
192603,18.4,2.65
192604,31.8,2.84
192605,46.6,2.19
192606,56.8,3.01
192607,63.5,2.57
192608,61.6,3.77
192609,53.2,3.43
192610,42.9,5.07
192611,31.8,5.23
192612,14.2,2.71
192701,15.4,3
192702,14.1,2.98
192703,28.1,1.39
192704,38.4,1.35
192705,46.5,4.76
192706,55.8,2.61
192707,65.1,4.18
192708,60.1,4.97
192709,55.2,2.2
192710,46.6,6.2
192711,35.4,6.72
192712,21.9,5.24
192801,13.8,3.55
192802,13.5,2.08
192803,23.4,2.55
192804,35.7,4
192805,49.3,4.64
192806,57.2,3.59
192807,65.3,3.88
192808,64.7,4.06
192809,51.5,4.18
192810,43.6,3.32
192811,30.1,2.5
192812,23.5,3.5
192901,12.6,3.76
192902,14.7,2.09
192903,26.9,2.82
192904,36.8,4.73
192905,50.6,4.5
192906,59.8,2.86
192907,64,2.34
192908,60.6,2.84
192909,56,2.01
192910,43,3.33
192911,31.1,2.55
192912,15,3.72
193001,13,3.14
193002,15.2,1.86
193003,25.3,5.77
193004,36.4,1.66
193005,51.2,3.84
193006,65.2,3.37
193007,64.4,4.13
193008,61.7,3.25
193009,57,2.48
193010,45.3,2.69
193011,33.9,2.96
193012,19.2,2
193101,12.4,2.88
193102,17,1.93
193103,31,2.81
193104,41,2.63
193105,52,3.56
193106,59.9,4.62
193107,67.6,5.21
193108,62.8,3.64
193109,55.7,5.01
193110,46.8,5.12
193111,37.2,1.36
193112,21.3,3.06
193201,22,3.65
193202,13,1.91
193203,22.7,3.81
193204,37.9,3.23
193205,51.3,2.24
193206,59.6,2.07
193207,62.9,4.34
193208,65.2,4.38
193209,56.5,6.31
193210,46.6,3.73
193211,29.6,4.32
193212,23.2,1.74
193301,21.9,2.49
193302,19.8,2.74
193303,23.4,3.64
193304,38.4,4.96
193305,51.1,2.75
193306,61,3.06
193307,63.6,3.45
193308,63.1,3.85
193309,55.5,3.7
193310,43.4,5.19
193311,24.3,2.86
193312,9.6,3.78
193401,10.2,3.1
193402,4,2.91
193403,23.4,2.39
193404,39.9,4.81
193405,52.7,1.79
193406,59.3,4.7
193407,65.2,3.99
193408,60,2.24
193409,59,5.43
193410,41,2.66
193411,34.1,3.49
193412,13.9,3.21
193501,7.3,6.71
193502,12,2.25
193503,24.1,1.81
193504,37.9,3.18
193505,48.2,2.02
193506,60.3,5.52
193507,67.4,3.27
193508,65.1,2.39
193509,52.8,4.34
193510,44.1,1.22
193511,34.3,4.93
193512,15.4,1.97
193601,13,6.5
193602,10.2,2.77
193603,32.6,7.11
193604,37,4.18
193605,51.2,4.15
193606,61.3,3.51
193607,62.5,3.11
193608,61.1,2.85
193609,54.4,3.36
193610,42.8,5.14
193611,26.4,2.5
193612,20.3,5.52
193701,20.3,3.47
193702,20.9,2.87
193703,22.4,3.14
193704,39.1,2.6
193705,53.6,4.75
193706,60.9,4.47
193707,67.8,2.61
193708,68.8,2.91
193709,56.4,3.69
193710,43.6,6
193711,32.4,4.46
193712,16.9,2.47
193801,12.4,3.58
193802,15.4,2.73
193803,24.6,2.45
193804,40.6,2.82
193805,49.3,3.93
193806,63.3,4.13
193807,65.9,5.95
193808,66.1,3.91
193809,53.2,5.45
193810,46.7,2.65
193811,33.4,2.71
193812,21.4,4.4
193901,12.6,2.04
193902,14.2,3.13
193903,19.2,3.15
193904,34.8,3.95
193905,49.6,2.04
193906,59.6,3
193907,66.6,3.32
193908,67,3.05
193909,54.5,3.77
193910,43.4,5.02
193911,28.8,0.8
193912,19.5,3.8
194001,9.6,1.63
194002,16.4,1.94
194003,23.6,3.95
194004,35.7,5.83
194005,51.5,3.12
194006,58.8,4.67
194007,65.6,2.86
194008,62.8,2.01
194009,54.9,4.94
194010,40.7,1.27
194011,31.3,6
194012,17,3.32
194101,11,2.12
194102,18.9,1.68
194103,23.4,3.07
194104,42.6,1.01
194105,51.6,2.45
194106,61.5,2.31
194107,66.6,4.02
194108,60.7,3.86
194109,55.5,2.21
194110,42.6,3.95
194111,32.8,3.27
194112,21.5,2.86
194201,12.2,2.52
194202,14.4,3.09
194203,31.2,5.48
194204,40.1,2.55
194205,54.6,2.31
194206,61.9,6.12
194207,64.8,2.82
194208,63.4,2.8
194209,56.5,3.78
194210,46.1,2.41
194211,31.4,3.49
194212,14.1,3.93
194301,9.6,1.35
194302,17.8,2.61
194303,22.9,3.1
194304,33.7,3.09
194305,50.3,3.79
194306,60,5
194307,66,3.72
194308,62.1,4.66
194309,54,2.45
194310,45.3,6.53
194311,31.6,6.06
194312,12.7,1.17
194401,16.1,1.15
194402,13.7,2.85
194403,23.1,3.39
194404,34.9,2.37
194405,54.7,1.26
194406,59.7,4.4
194407,65.6,3.33
194408,67.3,1.98
194409,56.7,5.85
194410,43.4,4.53
194411,34,4.14
194412,16.3,3.28
194501,9.6,4.39
194502,16.6,2.78
194503,32.6,2.19
194504,43.6,4.79
194505,47.8,6.09
194506,58.9,3.63
194507,65.7,4.45
194508,64.2,1.93
194509,57.1,4.61
194510,41.9,4.14
194511,31.6,4.14
194512,15.9,3.27
194601,12.6,3.29
194602,11.5,2.91
194603,34.2,1.48
194604,36.8,3.3
194605,50.3,3.4
194606,60.1,1.96
194607,63.9,3.01
194608,62,4.49
194609,57.7,2.99
194610,47.3,2.98
194611,33.5,3.38
194612,18,3.98
194701,13.9,2.93
194702,18,3.73
194703,27.5,3.08
194704,34.7,2.53
194705,48.2,5.37
194706,58.3,4.56
194707,68.8,5.14
194708,66.1,1.71
194709,55.9,2.76
194710,50.1,0.51
194711,31.2,4.13
194712,15.9,1.72
194801,9.9,2.4
194802,9.6,1.35
194803,23.6,2.85
194804,38,2.75
194805,48.7,6.38
194806,57.3,2.61
194807,65.8,2.91
194808,65.3,2.21
194809,56.2,1.3
194810,43.7,3.82
194811,38,5.93
194812,23.4,3.37
194901,18.6,3.39
194902,17.3,2.39
194903,26.6,2.39
194904,41.7,2.7
194905,51.3,3.28
194906,63,2.73
194907,67.8,2.8
194908,65.2,2.54
194909,54.5,3.93
194910,47.6,2.29
194911,29,4.54
194912,23.1,2.12
195001,18.1,4.01
195002,11.6,2.55
195003,21.8,3.59
195004,37,3.24
195005,52,0.93
195006,60.2,5.04
195007,64.8,2.81
195008,62.2,4.53
195009,51.1,1.49
195010,44.6,2.58
195011,37.3,8.33
195012,23.3,5.42
195101,17.7,3.04
195102,19.8,4.45
195103,27.5,3.7
195104,41.5,5.55
195105,51.5,3
195106,58.8,2.42
195107,65.1,6.33
195108,62.7,4.22
195109,55.8,2.74
195110,45.4,3.52
195111,30.1,6.07
195112,18.1,4.71
195201,15.6,3.77
195202,19,4.33
195203,27.6,2
195204,40.4,2.7
195205,48.9,3.78
195206,61.7,4.9
195207,70,1.27
195208,64.6,2.66
195209,56.1,2.98
195210,42.1,3.63
195211,33,2.02
195212,22.8,4.54
195301,19.8,4.01
195302,20.1,3.16
195303,28.4,7.32
195304,41,4.44
195305,52.1,3.04
195306,60.9,2.37
195307,65.4,3.84
195308,62.7,2.98
195309,56,2.97
195310,45.7,4.21
195311,37.7,3.9
195312,27,4.31
195401,10.6,3.15
195402,23.4,4.12
195403,26.1,3.23
195404,38,4.19
195405,48.8,5.34
195406,59.6,5.87
195407,63,4.22
195408,60.9,5.65
195409,53.2,8.24
195410,46.9,5.04
195411,33.9,4.04
195412,21.2,5.46
195501,13.6,1.91
195502,18.1,5.29
195503,23.7,4.5
195504,39.7,2.05
195505,53,3.29
195506,60.7,3.01
195507,68,2.45
195508,65.7,4.79
195509,53.8,1.83
195510,44.6,2.53
195511,31.8,3.34
195512,12.5,1.28
195601,21.7,4.66
195602,16.9,2.57
195603,20.1,3.6
195604,36.6,3.26
195605,45.2,3.15
195606,59.6,2.8
195607,61.9,3.84
195608,60.6,3.12
195609,51.4,3.5
195610,45.1,2.84
195611,33.1,3.11
195612,19.8,2.97
195701,5.9,2.07
195702,19,1.66
195703,28.5,2.05
195704,39.2,2.44
195705,51,2.52
195706,61.7,3.34
195707,63.5,3.77
195708,60,2.03
195709,56.7,2.97
195710,45.9,2.14
195711,36.3,5.32
195712,25.3,5.63
195801,20.2,6.54
195802,13.4,3.08
195803,31.9,2.88
195804,40.9,4.11
195805,48.1,2.83
195806,55,3.19
195807,63.8,5.18
195808,62.6,4.48
195809,55,3.01
195810,42.2,4.86
195811,32.7,3.7
195812,9.6,1.62
195901,13.9,3.48
195902,10.7,2.18
195903,23.5,3.87
195904,39.4,2.44
195905,54.2,1.28
195906,57.2,6.48
195907,68.4,2.51
195908,64.9,4.73
195909,57.5,2.57
195910,44,6.15
195911,32.5,6.57
195912,22.2,3.59
196001,15.2,3.42
196002,23.2,5.56
196003,23,2.36
196004,38,3.23
196005,55.4,4.32
196006,61.1,3.87
196007,64.2,4.06
196008,63.8,1.71
196009,55.8,3.72
196010,42.5,3.94
